"datekey","date","dayofweek","dayofmonth","weekofyear","month","year","weekendflag"
1696348800,2023-10-03 16:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696352400,2023-10-03 17:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696356000,2023-10-03 18:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696359600,2023-10-03 19:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696363200,2023-10-03 20:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696366800,2023-10-03 21:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696370400,2023-10-03 22:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696374000,2023-10-03 23:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696377600,2023-10-04 00:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696381200,2023-10-04 01:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696384800,2023-10-04 02:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696388400,2023-10-04 03:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696392000,2023-10-04 04:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696395600,2023-10-04 05:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696399200,2023-10-04 06:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696402800,2023-10-04 07:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696406400,2023-10-04 08:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696410000,2023-10-04 09:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696413600,2023-10-04 10:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696417200,2023-10-04 11:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696420800,2023-10-04 12:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696424400,2023-10-04 13:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696428000,2023-10-04 14:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696431600,2023-10-04 15:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696435200,2023-10-04 16:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696438800,2023-10-04 17:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696442400,2023-10-04 18:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696446000,2023-10-04 19:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696449600,2023-10-04 20:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696453200,2023-10-04 21:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696456800,2023-10-04 22:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696460400,2023-10-04 23:00:00.000,3.0,4.0,40.0,10.0,2023.0,false
1696464000,2023-10-05 00:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696467600,2023-10-05 01:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696471200,2023-10-05 02:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696474800,2023-10-05 03:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696478400,2023-10-05 04:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696482000,2023-10-05 05:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696485600,2023-10-05 06:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696489200,2023-10-05 07:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696492800,2023-10-05 08:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696496400,2023-10-05 09:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696500000,2023-10-05 10:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696503600,2023-10-05 11:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696507200,2023-10-05 12:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696510800,2023-10-05 13:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696514400,2023-10-05 14:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696518000,2023-10-05 15:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696521600,2023-10-05 16:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696525200,2023-10-05 17:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696528800,2023-10-05 18:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696532400,2023-10-05 19:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696536000,2023-10-05 20:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696539600,2023-10-05 21:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696543200,2023-10-05 22:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696546800,2023-10-05 23:00:00.000,4.0,5.0,40.0,10.0,2023.0,false
1696550400,2023-10-06 00:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696554000,2023-10-06 01:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696557600,2023-10-06 02:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696561200,2023-10-06 03:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696564800,2023-10-06 04:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696568400,2023-10-06 05:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696572000,2023-10-06 06:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696575600,2023-10-06 07:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696579200,2023-10-06 08:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696582800,2023-10-06 09:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696586400,2023-10-06 10:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696590000,2023-10-06 11:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696593600,2023-10-06 12:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696597200,2023-10-06 13:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696600800,2023-10-06 14:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696604400,2023-10-06 15:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696608000,2023-10-06 16:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696611600,2023-10-06 17:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696615200,2023-10-06 18:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696618800,2023-10-06 19:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696622400,2023-10-06 20:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696626000,2023-10-06 21:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696629600,2023-10-06 22:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696633200,2023-10-06 23:00:00.000,5.0,6.0,40.0,10.0,2023.0,false
1696636800,2023-10-07 00:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696640400,2023-10-07 01:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696644000,2023-10-07 02:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696647600,2023-10-07 03:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696651200,2023-10-07 04:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696654800,2023-10-07 05:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696658400,2023-10-07 06:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696662000,2023-10-07 07:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696665600,2023-10-07 08:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696669200,2023-10-07 09:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696672800,2023-10-07 10:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696676400,2023-10-07 11:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696680000,2023-10-07 12:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696683600,2023-10-07 13:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696687200,2023-10-07 14:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696690800,2023-10-07 15:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696694400,2023-10-07 16:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696698000,2023-10-07 17:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696701600,2023-10-07 18:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696705200,2023-10-07 19:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696708800,2023-10-07 20:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696712400,2023-10-07 21:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696716000,2023-10-07 22:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696719600,2023-10-07 23:00:00.000,6.0,7.0,40.0,10.0,2023.0,true
1696723200,2023-10-08 00:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696726800,2023-10-08 01:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696730400,2023-10-08 02:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696734000,2023-10-08 03:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696737600,2023-10-08 04:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696741200,2023-10-08 05:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696744800,2023-10-08 06:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696748400,2023-10-08 07:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696752000,2023-10-08 08:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696755600,2023-10-08 09:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696759200,2023-10-08 10:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696762800,2023-10-08 11:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696766400,2023-10-08 12:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696770000,2023-10-08 13:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696773600,2023-10-08 14:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696777200,2023-10-08 15:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696780800,2023-10-08 16:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696784400,2023-10-08 17:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696788000,2023-10-08 18:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696791600,2023-10-08 19:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696795200,2023-10-08 20:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696798800,2023-10-08 21:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696802400,2023-10-08 22:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696806000,2023-10-08 23:00:00.000,0.0,8.0,40.0,10.0,2023.0,true
1696809600,2023-10-09 00:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696813200,2023-10-09 01:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696816800,2023-10-09 02:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696820400,2023-10-09 03:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696824000,2023-10-09 04:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696827600,2023-10-09 05:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696831200,2023-10-09 06:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696834800,2023-10-09 07:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696838400,2023-10-09 08:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696842000,2023-10-09 09:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696845600,2023-10-09 10:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696849200,2023-10-09 11:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696852800,2023-10-09 12:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696856400,2023-10-09 13:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696860000,2023-10-09 14:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696863600,2023-10-09 15:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696867200,2023-10-09 16:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696870800,2023-10-09 17:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696874400,2023-10-09 18:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696878000,2023-10-09 19:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696881600,2023-10-09 20:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696885200,2023-10-09 21:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696888800,2023-10-09 22:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696892400,2023-10-09 23:00:00.000,1.0,9.0,41.0,10.0,2023.0,false
1696896000,2023-10-10 00:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696899600,2023-10-10 01:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696903200,2023-10-10 02:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696906800,2023-10-10 03:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696910400,2023-10-10 04:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696914000,2023-10-10 05:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696917600,2023-10-10 06:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696921200,2023-10-10 07:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696924800,2023-10-10 08:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696928400,2023-10-10 09:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696932000,2023-10-10 10:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696935600,2023-10-10 11:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696939200,2023-10-10 12:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696942800,2023-10-10 13:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696946400,2023-10-10 14:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696950000,2023-10-10 15:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696953600,2023-10-10 16:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696957200,2023-10-10 17:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696960800,2023-10-10 18:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696964400,2023-10-10 19:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696968000,2023-10-10 20:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696971600,2023-10-10 21:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696975200,2023-10-10 22:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696978800,2023-10-10 23:00:00.000,2.0,10.0,41.0,10.0,2023.0,false
1696982400,2023-10-11 00:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1696986000,2023-10-11 01:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1696989600,2023-10-11 02:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1696993200,2023-10-11 03:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1696996800,2023-10-11 04:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697000400,2023-10-11 05:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697004000,2023-10-11 06:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697007600,2023-10-11 07:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697011200,2023-10-11 08:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697014800,2023-10-11 09:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697018400,2023-10-11 10:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697022000,2023-10-11 11:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697025600,2023-10-11 12:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697029200,2023-10-11 13:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697032800,2023-10-11 14:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697036400,2023-10-11 15:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697040000,2023-10-11 16:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697043600,2023-10-11 17:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697047200,2023-10-11 18:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697050800,2023-10-11 19:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697054400,2023-10-11 20:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697058000,2023-10-11 21:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697061600,2023-10-11 22:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697065200,2023-10-11 23:00:00.000,3.0,11.0,41.0,10.0,2023.0,false
1697068800,2023-10-12 00:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697072400,2023-10-12 01:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697076000,2023-10-12 02:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697079600,2023-10-12 03:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697083200,2023-10-12 04:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697086800,2023-10-12 05:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697090400,2023-10-12 06:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697094000,2023-10-12 07:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697097600,2023-10-12 08:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697101200,2023-10-12 09:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697104800,2023-10-12 10:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697108400,2023-10-12 11:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697112000,2023-10-12 12:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697115600,2023-10-12 13:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697119200,2023-10-12 14:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697122800,2023-10-12 15:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697126400,2023-10-12 16:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697130000,2023-10-12 17:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697133600,2023-10-12 18:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697137200,2023-10-12 19:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697140800,2023-10-12 20:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697144400,2023-10-12 21:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697148000,2023-10-12 22:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697151600,2023-10-12 23:00:00.000,4.0,12.0,41.0,10.0,2023.0,false
1697155200,2023-10-13 00:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697158800,2023-10-13 01:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697162400,2023-10-13 02:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697166000,2023-10-13 03:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697169600,2023-10-13 04:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697173200,2023-10-13 05:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697176800,2023-10-13 06:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697180400,2023-10-13 07:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697184000,2023-10-13 08:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697187600,2023-10-13 09:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697191200,2023-10-13 10:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697194800,2023-10-13 11:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697198400,2023-10-13 12:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697202000,2023-10-13 13:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697205600,2023-10-13 14:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697209200,2023-10-13 15:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697212800,2023-10-13 16:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697216400,2023-10-13 17:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697220000,2023-10-13 18:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697223600,2023-10-13 19:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697227200,2023-10-13 20:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697230800,2023-10-13 21:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697234400,2023-10-13 22:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697238000,2023-10-13 23:00:00.000,5.0,13.0,41.0,10.0,2023.0,false
1697241600,2023-10-14 00:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697245200,2023-10-14 01:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697248800,2023-10-14 02:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697252400,2023-10-14 03:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697256000,2023-10-14 04:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697259600,2023-10-14 05:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697263200,2023-10-14 06:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697266800,2023-10-14 07:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697270400,2023-10-14 08:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697274000,2023-10-14 09:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
1697277600,2023-10-14 10:00:00.000,6.0,14.0,41.0,10.0,2023.0,true
