"locationkey","city","statecode","statename","latitude","longitude"
"7622fcfc77cae4231f7d59df1849d9c1",Albany,NY,New York,42.653031,-73.809978
c4951f51cd3ea879191d0760f78388e0,Albany,NY,New York,42.674514,-73.782731
"3fd695376ba96dd496f137dc7552f4a7",Albany,NY,New York,42.703095,-73.763706
"683a91016e1ddb17fd0973b293239228",Albany,OR,Oregon,44.627553,-123.017613
a5f920fa6faf7cb0249f3b20ee9c18d7,Albany,OR,Oregon,44.65345,-123.139526
"922e9b992e48834885c788536b224fef",Albany,TX,Texas,32.790131,-99.24184
e12375d285ed6f4256ec735b26fd54a0,Albemarle,NC,North Carolina,35.338579,-80.208179
"926b6493396eb20e36a1182c612e5dac",Alberta,AL,Alabama,32.15885,-87.34687
a2155f7e3e576d93ae5c0b1fe56fd68a,Alberton,MT,Montana,46.898852,-114.625586
"4ad0b29868ec9ec08f98ef2f3471c82c",Albertville,AL,Alabama,34.249752,-86.261095
e762d7012dc49f2fd1e2ceb50149d7fc,Albertville,AL,Alabama,34.33888,-86.163425
"31432a0eb65e8a3b902e2b8c84b97316",Albion,NY,New York,43.235972,-78.216477
"4c4445a6cae768d7feed3a0553720310",Albrightsville,PA,Pennsylvania,41.004434,-75.576536
"18ddd6449743b39529bd498ad99928fd",Albuquerque,NM,New Mexico,34.977206,-106.608155
"93d07dd3342d85055d7ad7babe37b9fb",Albuquerque,NM,New Mexico,35.05792,-106.621262
b64e7f7e2bcdef8fcc3751080eb1eb34,Albuquerque,NM,New Mexico,35.067584,-106.470746
"4a230d2f654d6d58d93d23bb8418bda8",Albuquerque,NM,New Mexico,35.072478,-106.578362
"8d6d909331a0877bd0e862d2c8c18010",Albuquerque,NM,New Mexico,35.081357,-106.646575
f34de6c2930a78c7b464645d59762092,Albuquerque,NM,New Mexico,35.089534,-106.89747
c290fd2dd7621f733d22284ab4d03ee6,Albuquerque,NM,New Mexico,35.100609,-106.516275
d1a45c7f4f7644d90b79d6c14decacde,Albuquerque,NM,New Mexico,35.134802,-106.75494
e205c165a0079a11523963a8561a5c3a,Albuquerque,NM,New Mexico,35.1378,-106.642543
f1d37fa7b37022814c066721c9e92794,Albuquerque,NM,New Mexico,35.143913,-106.48746
"0078395dca09d6fa7827a02398f8e1b2",Albuquerque,NM,New Mexico,35.152882,-106.575536
"088eacd08803158766a9028b99fc731e",Albuquerque,NM,New Mexico,35.191009,-106.501625
"2b65ed39cc5d8c0644fd3132d1d08781",Albuquerque,NM,New Mexico,35.19364,-106.685666
"77932429b09a94fb4ffeaa002ab2653d",Alburtis,PA,Pennsylvania,40.477974,-75.646324
"1dd14d33c88f81b1a8fce7310ba5890a",Alcoa,TN,Tennessee,35.79274,-83.986067
"87796532c813d0ad5f88ef2a4a491de6",Alden,IA,Iowa,42.508362,-93.401924
"53c5ff79db9b5a7abd02b6b632c3ab3e",Aledo,TX,Texas,32.695708,-97.631482
b210fc92acd3ffd86b89339fc0f4b3ce,Alexandria,LA,Louisiana,31.197018,-92.37022
b7608f60995d6aa8189cf1b9764ab8cd,Alexandria,LA,Louisiana,31.281321,-92.547344
"0416b6f1712b53d8d009e324f180a1f0",Alexandria,VA,Virginia,38.720527,-77.106668
"7d0ea82161fca0e6bb8001053648b3cd",Alexandria,VA,Virginia,38.755748,-77.097783
"4d77604c5ab9370efc9cd47e5ff8642e",Alexandria,VA,Virginia,38.771982,-77.057273
f1412017e31a2d3134a02be8a0e48195,Alexandria,VA,Virginia,38.80686,-77.056439
"285e121d09eec682b52d2900cbfab7ce",Alexandria,VA,Virginia,38.81314,-77.112126
"5f36cf6341a811786e010d8c5a1f3a0a",Alexandria,VA,Virginia,38.815789,-77.154271
"2bd818a4a764621a1baeadcbd913c02e",Alexandria,VA,Virginia,38.827888,-77.083132
"92ffc002a61821d009e70f5e3930ba68",Alexandria,VA,Virginia,38.836508,-77.06214
ec555ae37ba0942fdb86b346fabd1b6e,Alfred Station,NY,New York,42.273416,-77.745296
"8cf247ba916014659a7bd54b35ea962b",Algonquin,IL,Illinois,42.164741,-88.308625
"0f5d22aec130ddc3f95439edc9b65fd8",Alhambra,CA,California,34.074736,-118.145959
"0157139b8693327d582499092e262026",Alhambra,CA,California,34.090728,-118.127527
"788a0e367ab5b14892bf86bed0926d50",Alice,TX,Texas,27.725998,-98.135459
c7b368385e66ac1e6b15f489ab1c3698,Aliso Viejo,CA,California,33.576205,-117.730364
d41cffc7e4ec20f3880f6be03363e34d,Alkol,WV,West Virginia,38.153886,-81.969643
"151a77c002927212fc8c2f191d3845f7",Allegan,MI,Michigan,42.533307,-85.874766
"180e2ebcfbf4463e4aa472ce5c71db39",Allegany,NY,New York,42.113246,-78.533146
"3907175ee9c95a206faaacdd1d5beb0a",Allen,TX,Texas,33.089587,-96.607767
"3e864eecc106e6cc5a7c65dcce90f0d1",Allentown,PA,Pennsylvania,40.608473,-75.476275
b15d1862ca03519d1b0bf3382aae3dda,Allentown,PA,Pennsylvania,40.611658,-75.546853
a02fe2db3de14b5a33685e76832a9901,Alliance,NE,Nebraska,42.122965,-102.88128
"8c1a1909b8d57fdc43a9c0f3db067927",Alliance,OH,Ohio,40.920269,-81.129176
a18bd5cb8f511733c0fa3c2ff8120fc0,Alpena,MI,Michigan,45.094366,-83.476203
cd99b0735086d6c8a53d1d221a5f4f4b,Alpharetta,GA,Georgia,34.030333,-84.241932
"2ccefb87258905aca3a673cf331d0274",Alpharetta,GA,Georgia,34.07896,-84.305281
"29e3d58f80cdef1de9910c775ac536d8",Alpharetta,GA,Georgia,34.08715,-84.221044
b1f872201136cdf3681ec72822a566ff,Alpharetta,GA,Georgia,34.143879,-84.293133
eb040c194baa30ab769acf263d43dd4b,Alpine,AL,Alabama,33.355635,-86.262233
b36c9f8d588e139a311d0107a93fe56d,Alpine,CA,California,32.810624,-116.710667
"0d6710c422b7cd33f54fd6a6cb0a8330",Alpine,WY,Wyoming,43.064401,-110.776831
f8f97973905fa77b07578e2a24b47903,Alsip,IL,Illinois,41.673552,-87.735958
"1e5509e67de3010731a61b1cbe11bc2a",Alta,IA,Iowa,42.688436,-95.319027
"712481261215dee9fd45e243f9a679dd",Alta,WY,Wyoming,43.905298,-110.943196
"6410fcf85ad2fe161f562133827da598",Altamont,MO,Missouri,39.894531,-94.089951
c0f265f2f7a641a46e273075946c2876,Altamonte Springs,FL,Florida,28.662559,-81.411756
"55ce0ea09617c8ffb0da4bd003fc3e23",Altamonte Springs,FL,Florida,28.665548,-81.370266
e7b67f6593c4386e40184dc2262b7d45,Alta Vista,KS,Kansas,38.861969,-96.437347
e33e6c8905aad576986dfcc8c2cd7cc2,Altha,FL,Florida,30.531817,-85.179795
dcdc0b11eaa3bb5107f4f99f3001e203,Alto,GA,Georgia,34.444832,-83.571657
f39d98c383fde203a8fcc16a7b4f868a,Alton,IL,Illinois,38.939532,-90.124504
a476b2955b6dfcd9373671257b3c73d7,Altoona,IA,Iowa,41.645012,-93.45909
fd3e1bb3544eeece58a0eb435b3b050c,Altoona,PA,Pennsylvania,40.512604,-78.373901
"296602f93769d37b3b8232dd976f9622",Altoona,PA,Pennsylvania,40.555264,-78.370416
"21a5e19828e1e7064027165552a38669",Altus,OK,Oklahoma,34.641313,-99.31594
a3663f645246153e2963aaaca9caa43a,Alum Creek,WV,West Virginia,38.252347,-81.784831
"00d898972ae83847275143956ca1dd1d",Alva,OK,Oklahoma,36.848381,-98.764389
fa8c13694923a28a99d35ab935f26395,Alvarado,TX,Texas,32.414944,-97.196367
"32587f37ed14f96c913ffc4215acbf51",Alverton,PA,Pennsylvania,40.137347,-79.599717
"43c6c04070ddd79bec840d50e8782418",Alvin,TX,Texas,29.380858,-95.241857
f60438d0bd9e05b1deb22655364295f7,Amado,AZ,Arizona,31.686279,-111.160631
d9fce710b446696f156b14bc8a4d68ef,Amarillo,TX,Texas,35.109084,-102.017887
e75a9e0f2988d822932cd3cb69edb6fb,Amarillo,TX,Texas,35.144451,-101.878122
"436d0cba4f6183b5b97b29dabfcd535f",Amarillo,TX,Texas,35.166416,-101.886423
db44526133fa27f0c06adf122edb80c9,Amarillo,TX,Texas,35.177308,-101.794475
"2b81eb91dea2dc7f1250fa92003737e9",Amarillo,TX,Texas,35.230592,-101.802502
"79c409ffbe6c49dd57eb8264da12dcaf",Ambridge,PA,Pennsylvania,40.60364,-80.216424
"7e3279917a0ecf363aa85f7580b30d8b",American Fork,UT,Utah,40.47156,-111.680586
"7a3e7b2b9d61352345329b6a4f11d806",Americus,GA,Georgia,32.090302,-84.310735
"91237f24d002d8e96720453d27fa33c2",Ames,IA,Iowa,42.030822,-93.58849
"4489b710a553c652e74f541a13027d99",Ames,IA,Iowa,42.046297,-93.694448
"59cdd83f74a12eb97ab6d9331dfcdba6",Amherst,OH,Ohio,41.366331,-82.259924
"9c81cccc6d721c41a516f8d6f19dc683",Amityville,NY,New York,40.681433,-73.410099
d5e46a1bb55ea385712d67f49619c364,Amsterdam,NY,New York,42.937626,-74.173332
a31e878fed74ccee800ff4e0c2c5fab8,Anaheim,CA,California,33.808271,-117.923655
"5d1a469514caae7dc1f450c59a8b5551",Anaheim,CA,California,33.818251,-117.974997
"5f983a2ed43c9ab7101effbaa49ef0b0",Anaheim,CA,California,33.83796,-117.870494
"215e5b77eca5ed47b9d8c671521db1c7",Anaheim,CA,California,33.844983,-117.952151
"813265bd371034761e455eb8023e3343",Anaheim,CA,California,33.856495,-117.74021
"1898c3efa52475ed4cb01ac3f41126bb",Anahuac,TX,Texas,29.700296,-94.603226
"6445051786ee8a3488173059cc70f2a7",Anchorage,AK,Alaska,61.116381,-149.890375
fb9e4cb693180c6b6fc3c20d6677c4f4,Anchorage,AK,Alaska,61.147656,-149.753642
b926038f5dcfe2b05f65f96a966c488a,Anchorage,AK,Alaska,61.190346,-149.939108
"3519882c158d761b9fba3dd68d644a1c",Anchorage,AK,Alaska,61.201406,-149.817528
"886eb5882d6c252bfcaa43a0fde219b8",Anchorage,AK,Alaska,61.2046,-149.746095
fe9b3504f8689381b16394b1a48901a0,Anchorage,AK,Alaska,61.220018,-149.855702
"2fb08e653ba7bb0aab829e0da1d4ca9d",Anchorage,AK,Alaska,62.043951,-158.175667
bd7e1c0bae38fc4462d84437ea0a35a6,Andalusia,AL,Alabama,31.324729,-86.506928
"4702a56287773f06db63fd2c94647a5e",Anderson,AL,Alabama,34.954458,-87.245959
"41cec16e58302b769442a7bbae7e8f89",Anderson,CA,California,40.457991,-122.277995
"34c7de81ee32f698c946f5a4061bcfa0",Anderson,IN,Indiana,40.097817,-85.681513
"0e5ecde7b01ce0c52453d3286902159e",Anderson,IN,Indiana,40.129896,-85.760597
"0cd1ddc457834348cc837780f4369130",Anderson,IN,Indiana,40.1532,-85.621229
"91f7fe981a998068baf5796e80a594b5",Anderson,SC,South Carolina,34.460802,-82.756514
d1031dad752352c90e4834578dbe5c8a,Anderson,SC,South Carolina,34.506502,-82.605626
"0c0bc5a2163a6d8adec5e41e240103a5",Andover,MA,Massachusetts,42.648044,-71.161751
c17ac8e5af2f98b3d3d06bebbde171b9,Andover,MN,Minnesota,45.252114,-93.270906
"6c85b9984cc289b14dfd027d562d734b",Andover,NH,New Hampshire,43.451175,-71.79794
"45bcaf5e32d9a8332344dc42d621e2ca",Andrews,IN,Indiana,40.831378,-85.628114
"6388d8fd0ac5e251c39e80ad3ee6d349",Andrews,NC,North Carolina,35.198079,-83.810349
"3a7be7fa626878627bd1132bf8f4c11c",Angel Fire,NM,New Mexico,36.382459,-105.236309
ce32663ee56ccb4907b75962125aa44c,Angelica,NY,New York,42.356494,-77.982064
"051c488c09f7180b3cdfe515d14522e5",Angie,LA,Louisiana,30.932581,-89.860415
"15cd7ffc441b93e9c4b43265a12b4043",Angleton,TX,Texas,29.174921,-95.450088
"9e95d4e29a8945a7bb85606a8e5be00d",Anna,IL,Illinois,37.462109,-89.17253
dbbe17447214db54adbb73e290e88765,Anna,TX,Texas,33.355461,-96.515553
c19f82780602110efde3d3b7d0c39b60,Annandale,MN,Minnesota,45.246529,-94.117135
c18daec27408312d6bc4507d868b564d,Annandale,VA,Virginia,38.829817,-77.215318
c5daaf4d1a31c1dd1b51dce9a5ad9e47,Annapolis,MD,Maryland,38.942123,-76.489628
"9dd7fa02716025ff1cdd10d0271406d4",Annapolis,MD,Maryland,38.98765,-76.472326
"708bd1945791dceb0b39d4d39854efda",Annapolis,MD,Maryland,38.98775,-76.5528
"0952fca96a03e25e947c547a8fb8e262",Ann Arbor,MI,Michigan,42.261356,-83.846438
"6f5e93befd12a87923d02472283531eb",Ann Arbor,MI,Michigan,42.327704,-83.695817
"494d5be3be1096a45f84359f0a4d4602",Anniston,AL,Alabama,33.58308,-85.834626
"53ed33b236d55ee7f0aa07f2f9062a7f",Anniston,AL,Alabama,33.64916,-85.879642
"9e445d5cca6cb63f9ac107f82e859e28",Anniston,AL,Alabama,33.680005,-85.70911
"6e6d3fef25a3c0ed2b41cbe83ba9818e",Anoka,MN,Minnesota,45.288281,-93.4311
"7cf318efe1daf319455e7d2bdbe6ac5f",Anson,ME,Maine,44.769927,-69.972548
"48a2fcd3a23a5d72088656eec4e4ef98",Anson,TX,Texas,32.747863,-99.905394
"91a670aed0c3cb416907638f4ad3b09c",Ansonia,CT,Connecticut,41.344249,-73.069825
"3856d6696ba5a200a15877492d107f5a",Ansonville,NC,North Carolina,35.104593,-80.109909
e767ca894ce5020dcf0141f773579b4a,Ansted,WV,West Virginia,38.181993,-81.122676
fdc16669505f9eb050ac8668f2039917,Antelope,CA,California,38.715463,-121.363422
"19cffef81abe05bf0757d3dfc4a05b28",Anthem,AZ,Arizona,33.815971,-112.119836
"6b1248fa167bc9285cb47247deef3f7d",Anthony,NM,New Mexico,31.951887,-107.016272
"2b8f06d656758649ed961026517e2770",Antioch,CA,California,37.965782,-121.77583
"679d96c4fe0d176ec0e95375ceade181",Antioch,CA,California,37.996501,-121.812301
cf7052ff7cc52b0f16c8a82825a3720a,Antioch,TN,Tennessee,36.052237,-86.632503
"0b3b1539d8d4c37a429c456cd191c8ad",Apache Junction,AZ,Arizona,33.402386,-111.567878
"7d0aefac817a80a0cf6cd2c353d419aa",Apalachin,NY,New York,42.049447,-76.167535
bd3064ccd2f88a9c2e231b1a0160d614,Apex,NC,North Carolina,35.676537,-78.813444
"9a51f9a99c533b9a0f422b3c137af129",Apex,NC,North Carolina,35.712397,-78.915514
e71eca322a89cc5bbf9e26cd9f3cc75d,Apollo,PA,Pennsylvania,40.553591,-79.569029
"10635980a346fb2c12c9ef1170619dcc",Apopka,FL,Florida,28.671439,-81.553055
c54cf00d3c35d4558e96ac87f54f7b59,Apopka,FL,Florida,28.75169,-81.48747
fe05da88c34830195c705e250047be85,Appleton,WI,Wisconsin,44.280839,-88.452033
f79eb8570a8c2532029f5e4dc63fcef8,Appleton,WI,Wisconsin,44.335996,-88.39997
"44769be5bf13e13781cd8dadf06c649b",Apple Valley,CA,California,34.571446,-117.133076
f4be2aa0ec56481d72ef60f2fa816413,Appomattox,VA,Virginia,37.376805,-78.778792
e2393b434ba504ea6b07762dd299d51f,Arab,AL,Alabama,34.32387,-86.502006
b45d5cd6d6db0d8e4227067a9e05358b,Aransas Pass,TX,Texas,27.926913,-97.177776
"337533a38563b675d2a079170bd86fe8",Arapahoe,NC,North Carolina,34.987612,-76.804461
"907dce9861ad957d62b0f20d29910266",Arbuckle,CA,California,39.016702,-122.062143
bb4a7af28706fbde243da5e82d8fc5b8,Arcadia,CA,California,34.136258,-118.026704
d4f4955d5031dd565a61361b392c1b17,Arcadia,LA,Louisiana,32.591547,-92.889253
a37fb3e9138efe57704792e6461cbb81,Arcadia,OH,Ohio,41.105589,-83.534122
bd84bd324a9eb5deb3a2d408f85f4d40,Archbold,OH,Ohio,41.531146,-84.296944
aa67566f0b33a7b9ef46ffdc0df76fa0,Archie,MO,Missouri,38.490658,-94.372655
"6fc5f8214492f3c1411ab911c55df3c3",Arden,NC,North Carolina,35.457151,-82.579542
c1dd2e7ccda96e1b717f6b4a05cf9e81,Ardmore,PA,Pennsylvania,40.001553,-75.298929
"68290cea124d8ac91c43d58c96cb2c82",Argyle,TX,Texas,33.114675,-97.173782
"2f33ad1d1e9b73d16e034300bdf4c37e",Arizona City,AZ,Arizona,32.715395,-111.697663
e737aaf6e2f86b0b9b96053a6c425df4,Arkadelphia,AR,Arkansas,34.0851,-93.045228
c7c5e43ffac395f1eafab4ec4f473d4a,Arkansas City,KS,Kansas,37.065173,-96.995733
"994d87612737c16840d617caccf64c55",Arlington,MA,Massachusetts,42.415637,-71.17567
"7a4a491eece97c8a2c18ecc4a6008e02",Arlington,MA,Massachusetts,42.420949,-71.15637
"23cd58d42bd1adf52d3a98141774f68d",Arlington,TX,Texas,32.635563,-97.148829
"8cb1d71d926481a27f4417ac2a13d5ab",Arlington,TX,Texas,32.689222,-97.18913
"74a1cd0d6b3426a9e5b34c552129dfbc",Arlington,TX,Texas,32.692105,-97.086517
eb45decf36d3837fbcc8afc6b113cc89,Arlington,TX,Texas,32.722844,-97.080239
c655767c81603ddcf81c2e3c4bbf2d95,Arlington,TX,Texas,32.754272,-97.083196
"67d0db1a5428fd8eceab4eab98e6214a",Arlington,TX,Texas,32.784952,-97.100052
"9af44e4fb3d90201c58eb270a57e450d",Arlington,VA,Virginia,38.856835,-77.051484
a6cfde5f60e2ccec91f20916ef5180c9,Arlington,VA,Virginia,38.860785,-77.098984
"3eccb54babc72d4fa7b7e27db83c9cfa",Arlington,VA,Virginia,38.886566,-77.09525
"68935a9b7de1003518ddbbe1393a90b1",Arlington,VA,Virginia,38.906665,-77.124238
"2b70095c53ce1d3e2d67d9408abdbdd8",Arlington,WA,Washington,48.216688,-121.952185
"12d9851e48af3946a8bd686705e642c6",Arlington Heights,IL,Illinois,42.06449,-87.985462
ecf518f1aa446275b933ad9ac092c559,Arlington Heights,IL,Illinois,42.11278,-87.979542
"2bb47c55d267f5e3e255b994ae573edd",Armonk,NY,New York,41.128468,-73.707521
"7f4f1537eb4382ec49d57b24bdcb3410",Arnold,MO,Missouri,38.430371,-90.3921
"1b02b73737cf37984aa43ae56f817bfc",Aromas,CA,California,36.874753,-121.63073
"743ca641718d9176753114d1860f0b83",Arrey,NM,New Mexico,32.850681,-107.443567
"629e6150e3041dad7e85c2a4ab93b7be",Arroyo Grande,CA,California,35.176005,-120.476742
"901b99874a750cb61c145b9f7c13f510",Arthur,IL,Illinois,39.700938,-88.469322
"41a70bcb42ef25e88157e5c930169f8f",Arvada,CO,Colorado,39.825373,-105.063525
"39073b58fdba08b94ba8e01b56b1db0d",Arvada,CO,Colorado,39.85108,-105.130234
"6732b44187765eef84714a9fe6bfd084",Arverne,NY,New York,40.594095,-73.792896
"02ce9eee07fd7cef0511179de4086e68",Asbury Park,NJ,New Jersey,40.249708,-74.053712
"337967342b50244b55fc242b1736d341",Ashburn,GA,Georgia,31.720266,-83.694004
"18d2624642771854eae438c18323d290",Ashburn,VA,Virginia,39.041947,-77.47813
d239b67998dd35c65832285c424a5294,Ashdown,AR,Arkansas,33.663107,-94.156265
e992047d14ff0f273333d7e03067dd70,Asheboro,NC,North Carolina,35.727975,-79.786966
"3746aa3907da6f7666d135998762e52e",Asheville,NC,North Carolina,35.531707,-82.523017
"11db96d4cd90edeaa8f216b617f48dd3",Asheville,NC,North Carolina,35.571971,-82.614729
"972246b469b74d6a2258b239c4ee8366",Asheville,NC,North Carolina,35.625161,-82.484588
"910e995902b473df7f99a3f21d0d8ce7",Asheville,NC,North Carolina,35.647839,-82.564371
a80cd1a7228131fff44e6ed2034f3b76,Ashland,KY,Kentucky,38.427628,-82.730185
"0717dd67759a007f579d2f2affffa4cf",Ashland,KY,Kentucky,38.473824,-82.647933
"2bd65df15b27065ad659c8d456f1c4ed",Ashland,OH,Ohio,40.872668,-82.317038
"4037ca2788ff80b589411e3706cf753c",Ashland,OR,Oregon,42.181232,-122.579211
d5bf07fe640846ee4d7cdd4f370cf9f1,Ashland,PA,Pennsylvania,40.751575,-76.360586
"1171e485bcad74bc54954f8bd03bc976",Ashland,WI,Wisconsin,46.55349,-90.871814
"791971a4c2a856ffed3642ac606d8094",Ashland City,TN,Tennessee,36.279401,-87.075554
"6737387c8b00f9df747f41b80cc4ece5",Ashley,MI,Michigan,43.186891,-84.500161
"9bdd586ec1899ed98e9c84af5423baf6",Ashtabula,OH,Ohio,41.85594,-80.791866
"6b1ebbfae254b8350e069bd8c18b213e",Ashton,WV,West Virginia,38.612591,-82.120957
"0223b6d56aeebbed66296b85a272d2a9",Astoria,OR,Oregon,46.133918,-123.710609
fb125b76e07d5b376e24e1abf9121540,Atco,NJ,New Jersey,39.764747,-74.870626
ad5b596f7c01d362f3259c82773cea9b,Athens,AL,Alabama,34.773833,-87.084145
"71e1f76bd138919be6d5cc13c2c7ad9e",Athens,AL,Alabama,34.820162,-86.882397
fce2a11897e4bd67345e7173f0e3e958,Athens,GA,Georgia,33.905911,-83.323577
"8f64fe456482dd82925dff4e2ad3f034",Athens,GA,Georgia,34.001592,-83.344913
"1c5b8740001c01d93fc757abc9e3ce4d",Athens,GA,Georgia,34.017305,-83.447551
e6bcb011c24cda1a8f85bdcb31a02a3f,Athens,IL,Illinois,39.997432,-89.665941
b83bf7444dd99aa671038a1c0fce16e9,Athens,OH,Ohio,39.311963,-82.08602
"358eb97f5d22d8fc092ac74583ecb2e1",Athens,TN,Tennessee,35.442462,-84.640077
"348631e68218b615fa7ffae380271732",Athens,TX,Texas,32.094348,-95.906047
"25619ca734fc4492a33b1c433e6dc249",Atherton,CA,California,37.453514,-122.204756
"4c8bb7c84154b2da30badc9ef27710d6",Athol,MA,Massachusetts,42.562408,-72.19108
"392e0a51f9d7ec271aa6fff851086e25",Atlanta,GA,Georgia,33.622488,-84.523908
f7e4573b3aa04e939b6b00103a9ab941,Atlanta,GA,Georgia,33.676362,-84.460794
a6acebc5f1769ff6eba447b89fbf156d,Atlanta,GA,Georgia,33.702829,-84.382515
"63ebf5866de5df0b7d48c96d670a785a",Atlanta,GA,Georgia,33.707293,-84.543902
ad00cf04be7ee42920b819a3b6a6345d,Atlanta,GA,Georgia,33.723262,-84.475994
"9f216da0a629cc126c48fbc989507df9",Atlanta,GA,Georgia,33.757576,-84.432245
"77567b521de6f0444626c4b74756fd78",Atlanta,GA,Georgia,33.771079,-84.3336
c7e96a512e6211d8681c83e52914c665,Atlanta,GA,Georgia,33.771126,-84.378108
f6914966242fd99962dcfac4ca0633a7,Atlanta,GA,Georgia,33.792736,-84.448312
e73d26b5aafd3db024e931e841aaf0c3,Atlanta,GA,Georgia,33.818405,-84.358175
